Cluster,mat_file_name,X_c,Y_c,lon_c,lat_c,road,suburb,city,county,state,postcode,site name
Cluster 1331,5.5_8.5__TMCMC_2000_old.mat,1574010.262191675,5181994.1334030405,172.67844413719365,-43.51453536,Landy Street,Dallington,Christchurch,Christchurch City,Canterbury,8061,Dallington_Landy Street
Cluster 1386,15.5_17.5__TMCMC_2000.mat,1576689.647918166,5184365.198748419,172.7116957942077,-43.49327428,Bower Avenue,North New Brighton,Christchurch,Christchurch City,Canterbury,8083,North New Brighton_Bower Avenue
Cluster 1503,6.5_10__TMCMC_2000.mat,1576643.1273114204,5184050.073238054,172.7111069050295,-43.49611028,Bower Avenue,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Bower Avenue
Cluster 1503,6.5_10__TMCMC_2000_old.mat,1576643.1273114204,5184050.073238054,172.7111069050295,-43.49611028,Bower Avenue,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Bower Avenue
Cluster 1503,6.5_10__TMCMC_2000.mat,1576643.1273114204,5184050.073238054,172.7111069050295,-43.49611028,Bower Avenue,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Bower Avenue
Cluster 1503,6.5_10__TMCMC_2000_old.mat,1576643.1273114204,5184050.073238054,172.7111069050295,-43.49611028,Bower Avenue,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Bower Avenue
Cluster 1653,0.9_2__TMCMC_2000.mat,1574423.1430420722,5182696.818037748,172.68358544976263,-43.50822253,Breezes Road,Avondale,Christchurch,Christchurch City,Canterbury,8061,Avondale_Breezes Road
Cluster 1710,10_11__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_12__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_15__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_11__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_12__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_15__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_11__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_12__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 1710,10_15__TMCMC_2000.mat,1578049.615882516,5180958.438,172.72837826985673,-43.52399056,Bridge Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Bridge Street
Cluster 17131,3_4.5__TMCMC_2000.mat,1805157.802352133,5813127.4859902365,175.3304395428425,-37.8062115,Cambridge Road,N/A,Hamilton City,Waikato District,Waikato,3251,N/A_Cambridge Road
